User ID,Instrument,Amount,Lots,Action,Open Time (UK - GMT/BST),Open Rate
149014,XAUUSD,1,0.01,BUY,2025-05-19 07:31:45,3228.46
149014,XAUUSD,1,0.01,BUY,2025-05-19 07:35:26,3226.35
153801,XAUUSD,1,0.01,SELL,2025-05-19 07:40:50,3223.11
151112,XAUUSD,1,0.01,SELL,2025-05-19 07:45:37,3223.06
155804,XAUUSD,1,0.01,BUY,2025-05-19 07:48:16,3224.04
155804,XAUUSD,1,0.01,BUY,2025-05-19 07:57:12,3225.75
149014,XAUUSD,1,0.01,BUY,2025-05-19 08:08:58,3229.68
149014,XAUUSD,1,0.01,BUY,2025-05-19 08:09:55,3230.98
155804,XAUUSD,1,0.01,SELL,2025-05-19 08:10:14,3230
155804,XAUUSD,1,0.01,BUY,2025-05-19 08:10:45,3230.43
155853,XAUUSD,1,0.01,SELL,2025-05-19 08:11:30,3229.61
155856,XAUUSD,5,0.05,BUY,2025-05-19 08:16:58,3229.21
121373,XAUUSD,2,0.02,BUY,2025-05-19 08:20:27,3229.6
151112,XAUUSD,1,0.01,BUY,2025-05-19 08:21:40,3230.97
151615,XAUUSD,1,0.01,BUY,2025-05-19 08:25:45,3230.94
155804,XAUUSD,1,0.01,BUY,2025-05-19 08:40:07,3232.02
149014,XAUUSD,1,0.01,BUY,2025-05-19 08:43:36,3230.29
153912,XAUUSD,1,0.01,SELL,2025-05-19 08:44:09,3230
151615,XAUUSD,2,0.02,BUY,2025-05-19 08:44:54,3232.25
149014,XAUUSD,1,0.01,SELL,2025-05-19 08:45:14,3231.21
155636,XAUUSD,1,0.01,BUY,2025-05-19 08:45:36,3232.32
149014,XAUUSD,1,0.01,BUY,2025-05-19 08:47:34,3233.06
151615,XAUUSD,2,0.02,BUY,2025-05-19 08:47:45,3232.71
149014,XAUUSD,1,0.01,BUY,2025-05-19 08:53:25,3232.88
149014,XAUUSD,1,0.01,SELL,2025-05-19 09:04:47,3229.84
153911,XAUUSD,1,0.01,BUY,2025-05-19 09:04:54,3230.79
149014,XAUUSD,1,0.01,BUY,2025-05-19 09:17:26,3238.67
155856,XAUUSD,5,0.05,BUY,2025-05-19 09:17:56,3237.84
155804,XAUUSD,1,0.01,BUY,2025-05-19 09:24:06,3237.38
154529,XAUUSD,1,0.01,SELL,2025-05-19 09:25:23,3235.34
154529,XAUUSD,1,0.01,SELL,2025-05-19 09:32:23,3237.03
149365,XAUUSD,2,0.02,BUY,2025-05-19 09:46:31,3239.26
155804,XAUUSD,1,0.01,BUY,2025-05-19 09:50:37,3240.34
121373,XAUUSD,1,0.01,BUY,2025-05-19 09:50:44,3240.5
149014,XAUUSD,1,0.01,BUY,2025-05-19 09:52:03,3241.29
155804,XAUUSD,1,0.01,BUY,2025-05-19 09:55:43,3244.06
156071,XAUUSD,1,0.01,BUY,2025-05-19 09:59:26,3244.72
